L1Bit	L1SeedName	PS	PS_rate	error	pure_rate	prop_rate	L1Bit
19	L1_SingleMu22	1	8482.95	1044.18	1028.24	3960.02	19
38	L1_DoubleMu8_SQ	1	1413.82	426.28	0	355.16	44
41	L1_DoubleMu_15_5_SQ	1	899.71	340.06	128.53	235.04	47
42	L1_DoubleMu_15_7	1	642.65	287.4	0	85.09	48
50	L1_DoubleMu0er1p5_SQ_dR_Max1p4	1	11310.63	1205.72	5398.23	7158.29	57
54	L1_DoubleMu4_SQ_OS_dR_Max1p2	1	3855.88	703.98	899.71	1749.91	61
58	L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7	1	2056.47	514.12	385.59	1089.44	65
64	L1_TripleMu3_SQ	1	1542.36	445.24	514.12	736.19	75
67	L1_TripleMu_5_3_3	1	1670.88	463.42	385.59	682.63	78
71	L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17	1	899.71	340.06	0	212.43	83
73	L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9	1	771.18	314.83	128.53	239.21	85
79	L1_Mu7_EG20er2p5	1	1799.41	480.91	0	435.51	97
81	L1_Mu20_EG10er2p5	1	1285.29	406.45	128.53	424.62	99
86	L1_Mu6_DoubleEG12er2p5	1	1028.24	363.54	514.12	703.85	105
90	L1_DoubleMu5_SQ_EG9er2p5	1	1028.24	363.54	0	226.12	110
91	L1_DoubleMu3_OS_DoubleEG7p5Upsilon	1	385.59	222.62	128.53	176.13	112
92	L1_DoubleMu5Upsilon_OS_DoubleEG3	1	128.53	128.53	0	18.36	113
100	L1_Mu3er1p5_Jet100er2p5_ETMHF40	1	2313.53	545.3	128.53	641.54	128
102	L1_Mu6_HTT240er	1	1542.36	445.24	128.53	288.25	131
105	L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6	1	2056.47	514.12	0	614.56	135
107	L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8	1	257.06	181.77	0	11.9	142
110	L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5	1	642.65	287.4	385.59	395.15	146
113	L1_DoubleMu3_SQ_HTT220er	1	899.71	340.06	128.53	210.69	150
125	L1_SingleEG36er2p5	1	15295.05	1402.09	128.53	1151.11	168
131	L1_SingleEG60	1	3084.71	629.66	0	92.07	174
133	L1_SingleLooseIsoEG26er1p5	1	18379.68	1536.99	1799.41	3087.53	176
135	L1_SingleLooseIsoEG28er2p5	1	29818.84	1957.71	1156.77	4703.64	178
160	L1_DoubleEG_25_12_er2p5	1	6040.88	881.15	514.12	1459.25	208
165	L1_DoubleEG_LooseIso22_12_er2p5	1	5269.71	822.99	642.65	1336.84	214
171	L1_TripleEG_18_17_8_er2p5	1	1028.24	363.54	257.06	457.67	226
173	L1_TripleEG16er2p5	1	0	0	0	0	228
175	L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3	1	12595.89	1272.38	0	886.04	235
178	L1_LooseIsoEG26er2p1_HTT100er	1	13367.05	1310.75	514.12	1307.11	239
183	L1_DoubleEG8er2p5_HTT300er	1	899.71	340.06	128.53	196.97	249
186	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3	1	6297.95	899.71	1028.24	1727.89	257
188	L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3	1	514.12	257.06	0	26.95	259
189	L1_SingleTau120er2p1	1	2313.53	545.3	0	118.62	264
191	L1_DoubleTau70er2p1	1	1799.41	480.91	0	226.94	267
194	L1_DoubleIsoTau32er2p1	1	14523.79	1366.28	2056.47	5106.25	271
201	L1_Mu18er2p1_Tau24er2p1	1	4370	749.45	257.06	1399.55	279
211	L1_IsoTau40er2p1_ETMHF90	1	5012.65	802.67	0	945.11	292
219	L1_SingleJet180	1	2699.12	589	0	146.42	313
241	L1_DoubleJet150er2p5	1	385.59	222.62	0	21.69	343
243	L1_DoubleJet112er2p3_dEta_Max1p6	1	2313.53	545.3	514.12	771.28	346
247	L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5	1	1413.82	426.28	0	203.81	351
252	L1_DoubleJet_110_35_DoubleJet35_Mass_Min620	1	4370	749.45	514.12	1274.97	357
261	L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5	1	2185	529.94	128.53	526.33	372
267	L1_HTT320er_QuadJet_70_55_40_40_er2p4	1	1670.88	463.42	128.53	376.07	385
276	L1_HTT360er	1	3855.88	703.98	128.53	497.4	404
281	L1_ETT2000	1	1028.24	363.54	0	20.18	412
283	L1_ETM150	1	1285.29	406.45	0	46.2	417
284	L1_ETMHF100	1	5141.18	812.89	514.12	1091.49	421
290	L1_ETMHF90_HTT60er	1	7326.18	970.38	1799.41	2836.28	428
